Kürzel	Parameter
Abstich [cm]	Flurabstand
LF [µS/cm]	elektrische Leitfähigkeit bei 25°C
pH [ -]	pH Wert
O2 [mg/l]	Sauerstoff
O2-Sätt [%]	Sauerstoffsättigungsindex
Q [l/s]	Schüttung
T [°C]	Temperatur
F [mg/l]	Fluorid
Mg [mg/l]	Magnesium
PO4 [mg/l]	Ortho-Phosphat
NH4 [mg/l]	Ammonium
Ca [mg/l]	Calcium
Cl [mg/l]	Chlorid
DOC [mg/l]	gelöster organischer Kohlenstoff
Fe [mg/l]	Eisen
Mn [mg/l]	Mangan
Na [mg/l]	Natrium
NO3 [mg/l]	Nitrat
P, ges [mg/l]	Phosphor gesamt
KS 4,3 [mmol/l]	Säurekapazität bis pH 4,3
KS 8,2 [mmol/l]	Säurekapazität bis pH 8,2
SO4 [mg/l]	Sulfat 
GH [mmol/l]	Gesamthärte (Summe Erdalkalien)
Tr.quant [FNU]	Trübung
K [mg/l]	Kalium
