Pegel;Sauerstoff;GW_Temperatur;Phosphat;Sediment;Anzahl_Individuen
T101;0.97;14.4;0.1;3;0
T102;1.45;14;0.07;2;4
T104;1.07;12.5;0.1;3;0
T105;1.29;14.4;0.2;3;1
T106;4.02;14.2;0.4;3;7
T123;2.18;12.8;0.03;1;3
T124;1.97;14.9;0.1;3;2
T125;3.64;14.97;0.1;1;103
T128;5.5;13.17;0.17;2;13
T129;2.31;12.17;0.3;1;124
T320;2.62;12.64;0.12;1;252
T322;3.45;15.87;0.25;2;6
T402;3.68;12.43;0.33;2;4
T411;5.74;11.33;0.07;3;34
T412;4.47;11.4;0.2;1;6
T517;2.84;12.8;0.2;1.33;5
T524;1.77;11.53;0.1;1.67;275
T401;8.9;14.17;0.08;1.67;8
T109;4.86;14.13;0.07;1;38
T108;6.12;14.93;0.08;2;25
T114;8.25;15.43;0.07;1;171
T115;4.83;14.83;0.53;1;23
T117;6.24;17;0.12;3;76
T118;8.45;16.1;0.2;1.33;11
T112;6.87;14.47;0.1;1.67;204
T111;5.75;13.37;0.1;2.67;96
T113;3.35;17.53;0.07;1;1
3Kalmitw;6.44;15.27;0.12;1;13
2Windhor;8.64;15.77;0.22;2.33;353
1F-Lust-;5.95;17.33;0.1;2.33;630
T107;4.9;16.17;0.3;1;130
NOM-011;3.42;10.7;0.22;1;15
NOM-017;7.2;10.9;0.08;3;506
SOM-020;5.81;10.67;0.05;1;9
SOM-018;12.75;10.73;0.18;3;31
SWM-005;8.72;10.47;0.05;2.33;358
NWM-009;10.69;10.83;0.05;2.33;90
NWM-006;5;10.7;0.05;1;16
NOM-014;9.92;10.53;0.2;1.33;23
