Country Name,Energy use 2011,GDP /cap 2011,Population 2011
Iceland,17964,38224,319014
Brunei Darussalam,9427,70561,406512
Malta,2060,28332,416268
Luxembourg,8046,88848,518347
Montenegro,1900,14127,620644
Cyprus,2121,31229,1116513
Bahrain,7353,40083,1292764
Trinidad and Tobago,15691,28743,1333082
Estonia,4197,23179,1334948
Gabon,1253,17454,1594034
Kosovo,1411,8146,1790957
Qatar,17419,135050,1910902
Botswana,1115,13984,1986701
Slovenia,3531,28156,2052843
Latvia,2122,19969,2059709
Macedonia,1484,11749,2103890
Namibia,717,8863,2217618
Jamaica,1135,8485,2699838
Mongolia,1310,7495,2754209
Armenia,916,6812,2964120
Oman,8356,46430,3024774
Lithuania,2406,22411,3028115
Kuwait,10408,82475,3124705
Albania,689,9121,3153883
Uruguay,1309,17345,3383486
Moldova,936,4179,3559986
Panama,1085,15299,3740282
Bosnia and Herzegovina,1848,9235,3839322
Congo,393,5569,4225359
Croatia,1971,20286,4280600
Lebanon,1449,16437,4382790
New Zealand,4124,31554,4405200
Georgia,790,6322,4483400
Ireland,2888,42946,4576794
Costa Rica,983,12630,4737680
Norway,5681,61896,4953088
Turkmenistan,4839,11361,5106668
Singapore,6452,72296,5183700
Finland,6449,38605,5388272
Slovak Republic,3214,25128,5398384
Kyrgyz Republic,562,2921,5514600
Denmark,3231,41831,5570572
Nicaragua,515,4103,5905146
Eritrea,129,1139,5932852
Jordan,1143,11292,6181000
El Salvador,690,7352,6256242
Togo,427,1249,6472304
Paraguay,739,7431,6573097
Hong Kong,2106,50129,7071600
Serbia,2230,11731,7258745
Bulgaria,2615,15523,7348328
Israel,2994,30159,7765800
Honduras,609,4345,7776669
Tajikistan,306,2212,7814850
Switzerland,3207,51302,7912398
Austria,3928,42888,8406187
United Arab Emirates,7407,56377,8925096
Azerbaijan,1369,15754,9173082
Sweden,5190,41763,9449213
Belarus,3114,16603,9473000
Benin,385,1644,9779795
Hungary,2503,22413,9971727
Haiti,320,1553,10032864
Dominican Republic,727,10738,10147598
Bolivia,746,5462,10324445
Czech Republic,4138,27047,10496088
Portugal,2187,25828,10557560
Tunisia,890,10343,10673800
Belgium,5349,39840,11047744
Greece,2402,27046,11123213
Cuba,992,18796,11276053
Senegal,264,2163,13330737
Zimbabwe,697,1316,13358738
Zambia,621,2879,13633796
Cambodia,365,2646,14605862
Guatemala,691,6962,14706578
Ecuador,849,9569,15246481
Kazakhstan,4717,20772,16556600
Netherlands,4638,43148,16693074
Chile,1940,20169,17308449
Cote d'Ivoire,579,2567,19389954
Romania,1778,17113,20147528
Angola,673,7094,20180490
Sri Lanka,499,8112,20869000
Cameroon,318,2502,21156272
Australia,5501,41588,22340000
Yemen,312,4085,23304206
Mozambique,415,927,24581367
Ghana,425,3446,24820706
Nepal,383,2056,27156367
Saudi Arabia,6738,49230,27761728
Malaysia,2639,21075,28758968
Uzbekistan,1628,4412,29339400
Venezuela,2380,16960,29500625
Peru,695,11049,29614887
Iraq,1266,13635,31760020
Morocco,539,6698,32059424
Canada,7333,40384,34342780
Sudan,355,3350,36430923
Algeria,1108,12606,37762962
Poland,2629,21748,38534157
Kenya,480,2071,42027891
Ukraine,2766,8295,45706100
Tanzania,448,1596,46354607
Spain,2686,31732,46742697
Colombia,671,11364,47078792
Korea,5232,29035,49779440
South Africa,2741,11848,51579599
Italy,2757,33870,60723569
United Kingdom,2973,34800,63259912
Congo,383,433,63931512
France,3868,36248,65371613
Thailand,1790,12798,66576332
Turkey,1539,17998,73058638
Iran,2813,15970,75424285
Egypt,978,10629,79392466
Germany,3811,40980,81797673
Vietnam,697,4717,87840000
Ethiopia,381,1150,89393063
Philippines,426,5719,95053437
Mexico,1560,15749,119361233
Japan,3610,34266,127817277
Russian Federation,5113,22502,142960000
Bangladesh,205,2252,152862431
Nigeria,721,5240,164192925
Pakistan,482,4263,176166353
Brazil,1371,14301,196935134
Indonesia,857,8442,243801639
United States,7032,49854,311587816
India,614,4883,1221156319
China,2029,10041,1344130000
