MC a_m [µm],LS a_m [µm]
310,222
200,153
160,31
370,584
90,312
20,599
50,61
310,79
80,482
200,141
90,177
60,147
110,111
100,199
300,268
100,579
230,406
330,567
120,265
100,251
180,1184
140,126
190,175
210,191
510,76
60,156
40,127
40,150
290,63
250,759
120,60
50,205
90,148
20,209
140,260
190,223
130,373
170,242
400,541
150,83
80,172
190,911
140,501
40,193
140,98
380,416
140,345
50,160
60,150
320,115
110,43
70,236
70,120
90,77
50,125
90,782
110,304
300,314
150,258
460,374
80,325
60,47
170,796
160,155
160,102
70,184
230,200
50,382
40,128
110,65
100,113
110,89
100,67
170,107
70,63
60,160
230,642
110,957
350,191
110,97
520,314
90,49
120,73
70,226
130,292
130,113
90,131
60,461
100,259
50,57
50,38
90,64
130,67
260,86
130,64
110,59
20,144
290,499
200,464
280,519
190,156
400,239
110,96
80,174
70,392
180,476
90,82
110,62
70,173
70,160
60,132
100,40
70,341
60,146
160,150
200,342
70,60
80,327
230,222
190,553
190,595
250,455
390,674
180,166
150,109
130,1383
160,470
100,223
70,398
60,607
100,131
30,112
120,95
90,289
70,55
90,113
140,68
50,80
130,191
200,104
70,813
300,437
60,121
280,629
210,86
90,195
150,66
210,201
60,169
130,47
50,158
60,166
30,335
250,147
110,428
50,269
70,204
170,86
60,87
120,96
50,263
100,1836
210,495
80,403
270,78
320,161
130,80
130,341
70,205
110,128
60,356
40,354
70,52
100,122
220,65
50,60
70,55
110,158
280,184
50,141
130,157
100,104
60,843
170,331
50,104
330,116
160,66
70,125
220,1036
70,148
110,166
50,46
60,276
60,60
90,650
250,212
90,72
110,54
40,105
190,115
40,45
170,51
70,240
90,645
130,229
40,471
350,112
100,85
80,88
310,1574
90,54
100,55
70,247
10,103
20,74
60,621
180,97
90,76
60,76
70,60
170,97
90,222
80,325
130,246
60,1860
70,558
90,391
300,127
50,100
160,190
390,1074
70,55
280,89
40,73
20,68
80,92
70,1082
220,151
50,69
60,127
50,125
250,126
70,94
90,100
30,123
250,1145
100,441
60,435
50,130
40,431
90,104
480,1428
100,78
100,160
20,69
60,303
20,92
40,947
60,59
50,103
70,109
40,86
40,40
120,106
90,151
120,202
180,962
70,516
100,72
60,82
20,462
40,426
480,1307
60,110
70,154
50,356
60,85
180,444
30,1030
70,37
70,111
70,137
60,78
110,266
70,184
70,171
50,294
130,250
110,454
110,306
40,110
130,111
50,590
390,61
130,104
60,92
110,221
50,509
100,216
90,1055
60,105
70,52
110,112
120,51
110,255
80,81
80,86
50,194
120,242
70,532
170,178
30,84
30,87
70,568
360,1605
120,50
120,243
260,230
30,307
80,61
100,1006
70,125
70,79
220,76
90,125
190,330
60,125
40,271
70,488
70,952
90,317
110,411
60,97
110,394
100,516
400,1501
70,456
80,251
80,195
40,87
210,584
30,988
80,54
80,269
120,388
130,44
100,212
60,193
40,188
70,514
40,815
50,419
60,273
60,25
40,264
130,890
280,873
80,
100,
140,
70,
110,
140,
70,
90,
80,
30,
150,
90,
70,
20,
130,
110,
150,
40,
100,
110,
170,
60,
80,
270,
60,
50,
130,
80,
110,
110,
100,
190,
130,
180,
70,
130,
80,
50,
70,
70,
120,
180,
50,
60,
170,
70,
80,
110,
80,
180,
110,
110,
120,
130,
50,
70,
200,
90,
40,
60,
120,
50,
280,
60,
80,
210,
40,
70,
90,
70,
130,
60,
70,
150,
50,
80,
30,
60,
40,
50,
80,
70,
30,
290,
60,
80,
250,
40,
20,
160,
50,
110,
60,
90,
310,
40,
90,
100,
60,
70,
70,
70,
60,
50,
370,
50,
110,
40,
40,
120,
130,
50,
230,
40,
50,
180,
70,
40,
120,
160,
110,
60,
60,
40,
90,
350,
